pathchk,Check file name portability,,,,,
Perf,Performance analysis tools for Linux,,,,,
ping,Test a network connection, /bin/ping,,,,
pgrep,List processes by name,,,,,
pkill,Kill processes by name,,,,,
popd,Restore the previous value of the current directory,,,,,
pr,Prepare files for printing,,,,,
printcap,Printer capability database,,,,,
printenv,Print environment variables,,,,,
printf,Format and print data •,,,,,
ps,Process status,,,,,
pushd,Save and then change the current directory,,,,,
pv,Monitor the progress of data through a pipe,,,,,
pwd,Print Working Directory,shell builtin,,,,
quota,Display disk usage and limits,,,,,
quotacheck,Scan a file system for disk usage,,,,,
ram,ram disk device,,,,,
rar,Archive files with compression,,,,,
rcp,Copy files between two machines,,,,,
read,Read a line from standard input •,shell builtin,,,,
readarray,Read from stdin into an array variable •,,,,,
readonly,Mark variables/functions as readonly,,,,,
reboot,Reboot the system,,,,,
rename,Rename files,,,,,
renice,Alter priority of running processes,,,,,
remsync,Synchronize remote files via email,,,,,
return,Exit a shell function,shell builtin,,,,
rev,Reverse lines of a file,/usr/bin/rev,,,,
rm,Remove files,/bin/rm,,,,
rmdir,Remove folder(s),/bin/rmdir,,,,
rsync,Remote file copy (Synchronize file trees),,,,,
screen,"Multiplex terminal, run remote shells via ssh",,,,,
scp,Secure copy (remote file copy),,,,,
sdiff,Merge two files interactively,,,,,
sed,Stream Editor,,,,,
select,Accept keyboard input,,,,,
seq,Print numeric sequences,,,,,
set,Manipulate shell variables and functions,,,,,
sftp,Secure File Transfer Program,,,,,
shift,Shift positional parameters,,,,,
shopt,Shell Options,,,,,
shutdown,Shutdown or restart linux,,,,,
sleep,Delay for a specified time,,,,,
slocate,Find files,,,,,
sort,Sort text files,,,,,
source,Run commands from a file '.',,,,,
split,Split a file into fixed-size pieces,,,,,
ss,Socket Statistics,,,,,
ssh,Secure Shell client (remote login program),/usr/bin/ssh,,,,
stat,Display file or file system status,,,,,
strace,Trace system calls and signals,,,,,
su,Substitute user identity,/bin/su,,,,
sudo,Execute a command as another user,,,,,
sum,Print a checksum for a file,/usr/bin/sum,,,,
suspend,Suspend execution of this shell •,,,,,
sync,Synchronize data on disk with memory,,,,,
tail,Output the last part of a file,/usr/bin/tail,,,,
tar,"Store, list or extract files in an archive",/bin/tar,,,,
tee,Redirect output to multiple files,,,,,
test,Evaluate a conditional expression,,,,,
time,Measure Program running time,,,,,
timeout,Run a command with a time limit,,,,,
times,User and system times,,,,,
touch,Change file timestamps,/usr/bin/touch,,,,
top,List processes running on the system,/usr/bin/top,,,,
tput,"Set terminal-dependent capabilities, color, position",,,,,
traceroute,Trace Route to Host,,,,,
trap,Execute a command when the shell receives a signal •,,,,,
tr,"Translate, squeeze, and/or delete characters",,,,,
-true,"Do nothing, successfully",,,,,
tsort,Topological sort,,,,,
tty,Print filename of terminal on stdin,,,,,
type,Describe a command •,,,,,
ulimit,Limit user resources •,,,,,
umask,Users file creation mask,,,,,
umount,Unmount a device,,,,,
unalias,Remove an alias •,,,,,
uname,Print system information,/bin/uname,,,,
unexpand,Convert spaces to tabs,,,,,
uniq,Uniquify files,,,,,
units,Convert units from one scale to another,,,,,
unrar,Extract files from a rar archive,,,,,
unset,Remove variable or function names,,,,,
unshar,Unpack shell archive scripts,,,,,
until,Execute commands (until error),,,,,
uptime,Show uptime,,,,,
useradd,Create new user account,,,,,
userdel,Delete a user account,,,,,
usermod,Modify user account,,,,,
users,List users currently logged in,/usr/bin/users,,,,
uuencode,Encode a binary file,,,,,
uudecode,Decode a file created by uuencode,,,,,
v,Verbosely list directory contents ('ls -l -b'),,,,,
vdir,Verbosely list directory contents ('ls -l -b'),/bin/vdir,,,,
vi,Text Editor,,,,,
vmstat,Report virtual memory statistics,,,,,
w,Show who is logged on and what they are doing,,,,,
wait,Wait for a process to complete •,,,,,
watch,Execute/display a program periodically,,,,,
wc,"Print byte, word, and line counts",,,,,
whereis,"Search the user's $path, man pages and source files for a program",,,,,
which,Search the user's $path for a program file,,,,,
while,Execute commands,,,,,
who,Print all usernames currently logged in,,,,,
whoami,Print the current user id and name ('id -un'),,,,,
wget,"Retrieve web pages or files via HTTP, HTTPS or FTP",/usr/bin/wget,,,,
write,Send a message to another user,/usr/bin/write,,,,
xargs,"Execute utility, passing constructed argument list(s)",/usr/bin/xargs,,,,
xdg-open,Open a file or URL in the user's preferred application.,,,,,
xz,Compress or decompress .xz and .lzma files,/usr/bin/xz,,,,
yes,Print a string until interrupted,/usr/bin/yes,,,,
zip,Package and compress (archive) files.,,,,,
.,Run a command script in the current shell,shell builtin,,,,
!!,Run the last command again,shell builtin,,,,
###,Comment / Remark,shell builtin,,,,
